
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 cookies.py:39(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:439(BaseCookie)
        1    0.000    0.000    0.000    0.000 cookies.py:579(SimpleCookie)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
     38/2    0.000    0.000    0.000    0.000 copy.py:128(deepcopy)
       28    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
        2    0.000    0.000    0.000    0.000 copy.py:200(_deepcopy_list)
      6/2    0.000    0.000    0.000    0.000 copy.py:226(_deepcopy_dict)
        8    0.000    0.000    0.000    0.000 copy.py:242(_keep_alive)
        2    0.000    0.000    0.000    0.000 copy.py:258(_reconstruct)
        4    0.000    0.000    0.000    0.000 copy.py:263(<genexpr>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        3    0.000    0.000    0.000    0.000 core.py:56(where)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
        1    0.000    0.000    0.056    0.056 css.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css.py:44(CSS)
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1499(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        1    0.000    0.000    0.000    0.000 css_match.py:59(_FakeParent)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        1    0.000    0.000    0.053    0.053 css_parser.py:1(<module>)
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
       14    0.000    0.000    0.011    0.001 css_parser.py:1135(process_selectors)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    0.000    0.000 css_parser.py:293(SelectorPattern)
       16    0.000    0.000    0.029    0.002 css_parser.py:296(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:313(SpecialPseudoPattern)
        1    0.000    0.000    0.016    0.016 css_parser.py:316(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:329(get_name)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:350(_Selector)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
        1    0.000    0.000    0.031    0.031 css_parser.py:418(CSSParser)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:732(parse_pseudo_open)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
    52/14    0.001    0.000    0.011    0.001 css_parser.py:911(parse_selectors)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:147(Namespaces)
        1    0.000    0.000    0.000    0.000 css_types.py:165(CustomSelectors)
        1    0.000    0.000    0.000    0.000 css_types.py:183(Selector)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:234(SelectorNull)
        1    0.000    0.000    0.000    0.000 css_types.py:243(SelectorTag)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:257(SelectorAttribute)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:284(SelectorContains)
        1    0.000    0.000    0.000    0.000 css_types.py:298(SelectorNth)
        1    0.000    0.000    0.000    0.000 css_types.py:310(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:323(SelectorLang)
        1    0.000    0.000    0.000    0.000 css_types.py:34(Immutable)
        1    0.000    0.000    0.000    0.000 css_types.py:351(SelectorList)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        9    0.000    0.000    0.000    0.000 css_types.py:394(pickle_register)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        1    0.000    0.000    0.000    0.000 css_types.py:97(ImmutableDict)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:54(excel)
        1    0.000    0.000    0.000    0.000 csv.py:64(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:69(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        1    0.003    0.003    0.037    0.037 dammit.py:128(_populate_class_variables)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
        1    0.000    0.000    0.047    0.047 dammit.py:2(<module>)
       61    0.000    0.000    0.000    0.000 dammit.py:229(<listcomp>)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
        1    0.000    0.000    0.003    0.003 dataclasses.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1010(wrap)
        1    0.000    0.000    0.000    0.000 dataclasses.py:155(FrozenInstanceError)
        1    0.000    0.000    0.000    0.000 dataclasses.py:160(_HAS_DEFAULT_FACTORY_CLASS)
        1    0.000    0.000    0.000    0.000 dataclasses.py:167(_MISSING_TYPE)
        1    0.000    0.000    0.000    0.000 dataclasses.py:176(_FIELD_BASE)
        3    0.000    0.000    0.000    0.000 dataclasses.py:177(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:202(_InitVarMeta)
        1    0.000    0.000    0.000    0.000 dataclasses.py:206(InitVar)
        1    0.000    0.000    0.000    0.000 dataclasses.py:231(Field)
       11    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:289(_DataclassParams)
        2    0.000    0.000    0.000    0.000 dataclasses.py:298(__init__)
       11    0.000    0.000    0.000    0.000 dataclasses.py:320(field)
        4    0.000    0.000    0.000    0.000 dataclasses.py:342(_tuple_str)
        4    0.000    0.000    0.000    0.000 dataclasses.py:351(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:356(_recursive_repr)
        6    0.000    0.000    0.000    0.000 dataclasses.py:375(_create_fn)
       25    0.000    0.000    0.000    0.000 dataclasses.py:389(<genexpr>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:402(_field_assign)
       11    0.000    0.000    0.000    0.000 dataclasses.py:414(_field_init)
       11    0.000    0.000    0.000    0.000 dataclasses.py:468(_init_param)
        2    0.000    0.000    0.000    0.000 dataclasses.py:487(_init_fn)
        2    0.000    0.000    0.000    0.000 dataclasses.py:505(<dictcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:530(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:537(_repr_fn)
        2    0.000    0.000    0.000    0.000 dataclasses.py:541(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:573(_cmp_fn)
       11    0.000    0.000    0.000    0.000 dataclasses.py:595(_is_classvar)
       11    0.000    0.000    0.000    0.000 dataclasses.py:603(_is_initvar)
       11    0.000    0.000    0.000    0.000 dataclasses.py:669(_get_field)
        6    0.000    0.000    0.000    0.000 dataclasses.py:751(_set_new_attribute)
        2    0.000    0.000    0.000    0.000 dataclasses.py:765(_hash_set_none)
        2    0.000    0.000    0.001    0.000 dataclasses.py:807(_process_class)
        2    0.000    0.000    0.000    0.000 dataclasses.py:861(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:922(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:938(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:941(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:947(<listcomp>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:996(dataclass)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1141(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1559(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1567(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2181(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2201(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:441(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
       16    0.000    0.000    0.012    0.001 decoder.py:332(decode)
       16    0.011    0.001    0.011    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 desired_capabilities.py:17(<module>)
        1    0.000    0.000    0.000    0.000 desired_capabilities.py:20(DesiredCapabilities)
        1    0.000    0.000    0.000    0.000 dialog.py:18(<module>)
        1    0.000    0.000    0.000    0.000 dialog.py:24(Dialog)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:209(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:479(Bytecode)
        1    0.000    0.000    0.000    0.000 domreg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 driver_finder.py:17(<module>)
        1    0.000    0.000    0.000    0.000 driver_finder.py:28(DriverFinder)
        2    0.000    0.000    0.000    0.000 driver_finder.py:36(__init__)
        2    0.000    0.000    0.000    0.000 driver_finder.py:46(get_browser_path)
        2    0.000    0.000    0.000    0.000 driver_finder.py:49(get_driver_path)
        4    0.000    0.000    0.000    0.000 driver_finder.py:52(_binary_paths)
        1    0.000    0.000    0.106    0.106 element.py:1(<module>)
      398    0.001    0.000    0.050    0.000 element.py:1079(_find_all)
        1    0.000    0.000    0.000    0.000 element.py:1274(NavigableString)
     3765    0.007    0.000    0.015    0.000 element.py:1291(__new__)
        1    0.000    0.000    0.000    0.000 element.py:131(NamespacedAttribute)
        1    0.000    0.000    0.000    0.000 element.py:1424(PreformattedString)
        1    0.000    0.000    0.000    0.000 element.py:1451(CData)
        1    0.000    0.000    0.000    0.000 element.py:1458(ProcessingInstruction)
        1    0.000    0.000    0.000    0.000 element.py:1465(XMLProcessingInstruction)
        1    0.000    0.000    0.000    0.000 element.py:1472(Comment)
        1    0.000    0.000    0.000    0.000 element.py:1479(Declaration)
        1    0.000    0.000    0.000    0.000 element.py:1486(Doctype)
        1    0.000    0.000    0.000    0.000 element.py:1526(Stylesheet)
        1    0.000    0.000    0.000    0.000 element.py:1535(Script)
        1    0.000    0.000    0.000    0.000 element.py:1545(TemplateString)
        1    0.000    0.000    0.000    0.000 element.py:1554(RubyTextString)
        1    0.000    0.000    0.000    0.000 element.py:1563(RubyParenthesisString)
        1    0.000    0.000    0.000    0.000 element.py:1569(Tag)
     5699    0.028    0.000    0.087    0.000 element.py:1618(__init__)
        1    0.000    0.000    0.000    0.000 element.py:165(AttributeValueWithCharsetSubstitution)
     5697    0.003    0.000    0.004    0.000 element.py:1812(is_empty_element)
      405    0.000    0.000    0.001    0.000 element.py:1873(_all_strings)
        1    0.000    0.000    0.000    0.000 element.py:189(CharsetMetaAttributeValue)
        2    0.000    0.000    0.000    0.000 element.py:200(__new__)
     2630    0.001    0.000    0.001    0.000 element.py:2160(get)
        1    0.000    0.000    0.000    0.000 element.py:217(AttributeValueList)
       15    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
      140    0.000    0.000    0.000    0.000 element.py:2196(has_attr)
      140    0.000    0.000    0.000    0.000 element.py:2203(__getitem__)
    16737    0.002    0.000    0.002    0.000 element.py:2219(__bool__)
        2    0.000    0.000    0.000    0.000 element.py:2223(__setitem__)
        1    0.000    0.000    0.000    0.000 element.py:226(AttributeDict)
      196    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
        1    0.000    0.000    0.000    0.000 element.py:233(XMLAttributeDict)
        1    0.000    0.000    0.000    0.000 element.py:2443(_TreeTraversalEvent)
        1    0.000    0.000    0.000    0.000 element.py:265(HTMLAttributeDict)
      396    0.001    0.000    0.031    0.000 element.py:2684(find)
      398    0.000    0.000    0.050    0.000 element.py:2715(find_all)
    16503    0.003    0.000    0.004    0.000 element.py:2763(descendants)
        1    0.000    0.000    0.000    0.000 element.py:2861(ResultSet)
      398    0.000    0.000    0.000    0.000 element.py:2869(__init__)
        1    0.000    0.000    0.000    0.000 element.py:308(ContentMetaAttributeValue)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
    13229    0.013    0.000    0.013    0.000 element.py:376(setup)
      197    0.000    0.000    0.001    0.000 element.py:524(get_text)
      197    0.000    0.000    0.001    0.000 element.py:547(<listcomp>)
      595    0.001    0.000    0.001    0.000 element.py:657(_last_descendant)
        5    0.000    0.000    0.000    0.000 element.py:84(__getattr__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       16    0.000    0.000    0.000    0.000 encoder.py:182(encode)
       17    0.000    0.000    0.000    0.000 encoder.py:204(iterencode)
        1    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
     1683    0.001    0.000    0.002    0.000 encoder.py:277(_iterencode_list)
     1680    0.001    0.000    0.002    0.000 encoder.py:333(_iterencode_dict)
     1683    0.001    0.000    0.003    0.000 encoder.py:413(_iterencode)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:1009(<lambda>)
       35    0.000    0.000    0.000    0.000 enum.py:1015(_power_of_two)
      323    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       30    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
       30    0.002    0.000    0.005    0.000 enum.py:157(__new__)
       30    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       30    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
      421    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       71    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
      603    0.000    0.000    0.004    0.000 enum.py:313(__call__)
      421    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       30    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:398(__members__)
      512    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
       13    0.000    0.000    0.003    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.000    0.000 enum.py:44(_make_class_unpicklable)
       13    0.000    0.000    0.004    0.000 enum.py:483(_convert_)
       13    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
      165    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
       30    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
       73    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       73    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       30    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      590    0.000    0.000    0.001    0.000 enum.py:631(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:676(_generate_next_value_)
       30    0.000    0.000    0.000    0.000 enum.py:68(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:697(__repr__)
        2    0.000    0.000    0.000    0.000 enum.py:738(__reduce_ex__)
       98    0.000    0.000    0.000    0.000 enum.py:748(name)
      421    0.001    0.000    0.001    0.000 enum.py:75(__setitem__)
      279    0.000    0.000    0.000    0.000 enum.py:753(value)
        7    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
        7    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
       91    0.000    0.000    0.001    0.000 enum.py:932(__or__)
      187    0.000    0.000    0.001    0.000 enum.py:938(__and__)
       28    0.000    0.000    0.000    0.000 enum.py:957(_high_bit)
        7    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
        7    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
        1    0.000    0.000    0.000    0.000 enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:17(LanguageFilter)
        1    0.000    0.000    0.000    0.000 enums.py:32(ProbingState)
        1    0.000    0.000    0.000    0.000 enums.py:41(MachineState)
        1    0.000    0.000    0.000    0.000 enums.py:50(SequenceLikelihood)
        1    0.000    0.000    0.000    0.000 enums.py:65(CharacterCategory)
        1    0.000    0.000    0.000    0.000 enums.py:8(InputState)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:19(URLError)
        1    0.000    0.000    0.000    0.000 error.py:25(__init__)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
        2    0.000    0.000    0.000    0.000 error.py:39(__init__)
        2    0.000    0.000    0.000    0.000 error.py:68(headers)
        1    0.000    0.000    0.000    0.000 error.py:73(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 errorhandler.py:141(ErrorHandler)
       16    0.000    0.000    0.000    0.000 errorhandler.py:144(check_response)
        1    0.000    0.000    0.000    0.000 errorhandler.py:18(<module>)
        1    0.000    0.000    0.000    0.000 errorhandler.py:54(ExceptionMapping)
        1    0.000    0.000    0.000    0.000 errorhandler.py:95(ErrorCode)
        1    0.000    0.000    0.000    0.000 errors.py:108(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:111(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:32(HeaderWriteError)
        1    0.000    0.000    0.000    0.000 errors.py:37(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:48(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:51(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:54(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:57(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:60(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:65(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:68(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:71(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:74(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:77(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:80(InvalidBase64LengthDefect)
        1    0.000    0.000    0.000    0.000 errors.py:85(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:91(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:94(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:97(NonPrintableDefect)
        1    0.000    0.000    0.000    0.000 escprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:35(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:36(EUCJPProber)
        1    0.000    0.000    0.000    0.000 euckrfreq.py:41(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:34(EUCKRProber)
        1    0.000    0.000    0.000    0.000 euctwfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:33(EUCTWProber)
        2    0.000    0.000    0.001    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:10(FeatureNotFound)
        1    0.000    0.000    0.000    0.000 exceptions.py:106(HostChangedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:117(TimeoutStateError)
        1    0.000    0.000    0.000    0.000 exceptions.py:121(TimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:122(InvalidElementStateException)
        1    0.000    0.000    0.000    0.000 exceptions.py:129(ReadTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:131(UnexpectedAlertPresentException)
        1    0.000    0.000    0.000    0.000 exceptions.py:135(ConnectTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:139(NewConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:152(NoAlertPresentException)
        1    0.000    0.000    0.000    0.000 exceptions.py:158(NameResolutionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:16(ParserRejectedMarkup)
        1    0.000    0.000    0.000    0.000 exceptions.py:160(ElementNotVisibleException)
        1    0.000    0.000    0.000    0.000 exceptions.py:166(EmptyPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:169(ElementNotInteractableException)
        1    0.000    0.000    0.000    0.000 exceptions.py:17(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:170(FullPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:174(ClosedPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:174(ElementNotSelectableException)
        1    0.000    0.000    0.000    0.000 exceptions.py:178(LocationValueError)
        1    0.000    0.000    0.000    0.000 exceptions.py:18(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:181(InvalidCookieDomainException)
        1    0.000    0.000    0.000    0.000 exceptions.py:182(LocationParseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:186(UnableToSetCookieException)
        1    0.000    0.000    0.000    0.000 exceptions.py:190(TimeoutException)
        1    0.000    0.000    0.000    0.000 exceptions.py:192(URLSchemeUnknown)
        1    0.000    0.000    0.000    0.000 exceptions.py:194(MoveTargetOutOfBoundsException)
        1    0.000    0.000    0.000    0.000 exceptions.py:199(UnexpectedTagNameException)
        1    0.000    0.000    0.000    0.000 exceptions.py:202(ResponseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:203(InvalidSelectorException)
        1    0.000    0.000    0.000    0.000 exceptions.py:209(SecurityWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:213(InsecureRequestWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:217(NotOpenSSLWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:22(HTTPWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:221(ImeNotAvailableException)
        1    0.000    0.000    0.000    0.000 exceptions.py:221(SystemTimeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:225(InsecurePlatformWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:229(DependencyWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:229(ImeActivationFailedException)
        1    0.000    0.000    0.000    0.000 exceptions.py:233(InvalidArgumentException)
        1    0.000    0.000    0.000    0.000 exceptions.py:236(ResponseNotChunked)
        1    0.000    0.000    0.000    0.000 exceptions.py:237(JavascriptException)
        1    0.000    0.000    0.000    0.000 exceptions.py:240(BodyNotHttplibCompatible)
        1    0.000    0.000    0.000    0.000 exceptions.py:241(NoSuchCookieException)
        1    0.000    0.000    0.000    0.000 exceptions.py:246(ScreenshotException)
        1    0.000    0.000    0.000    0.000 exceptions.py:247(IncompleteRead)
        1    0.000    0.000    0.000    0.000 exceptions.py:250(ElementClickInterceptedException)
        1    0.000    0.000    0.000    0.000 exceptions.py:256(InsecureCertificateException)
        1    0.000    0.000    0.000    0.000 exceptions.py:26(WebDriverException)
        1    0.000    0.000    0.000    0.000 exceptions.py:261(InvalidCoordinatesException)
        1    0.000    0.000    0.000    0.000 exceptions.py:265(InvalidSessionIdException)
        1    0.000    0.000    0.000    0.000 exceptions.py:269(InvalidChunkLength)
        1    0.000    0.000    0.000    0.000 exceptions.py:270(SessionNotCreatedException)
        1    0.000    0.000    0.000    0.000 exceptions.py:274(UnknownMethodException)
        1    0.000    0.000    0.000    0.000 exceptions.py:279(NoSuchDriverException)
        1    0.000    0.000    0.000    0.000 exceptions.py:285(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:289(ProxySchemeUnknown)
        1    0.000    0.000    0.000    0.000 exceptions.py:290(DetachedShadowRootException)
        1    0.000    0.000    0.000    0.000 exceptions.py:306(ProxySchemeUnsupported)
        1    0.000    0.000    0.000    0.000 exceptions.py:31(PoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:310(HeaderParsingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:320(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:43(RequestError)
        1    0.000    0.000    0.000    0.000 exceptions.py:47(InvalidSwitchToTargetException)
        1    0.000    0.000    0.000    0.000 exceptions.py:51(NoSuchFrameException)
        1    0.000    0.000    0.000    0.000 exceptions.py:55(NoSuchWindowException)
        1    0.000    0.000    0.000    0.000 exceptions.py:55(SSLError)
        1    0.000    0.000    0.000    0.000 exceptions.py:59(ProxyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:6(StopParsing)
        1    0.000    0.000    0.000    0.000 exceptions.py:65(NoSuchElementException)
        1    0.000    0.000    0.000    0.000 exceptions.py:70(DecodeError)
