
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
      580    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      298    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:496(_calc_mode)
  292/291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      290    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      290    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      289    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:651(_code_to_timestamp_pyc)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      298    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
      869    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:831(is_package)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
    290/3    0.001    0.000    0.248    0.083 <frozen importlib._bootstrap_external>:842(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:906(source_to_code)
      290    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       34    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       16    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(NodeFilter)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       26    0.000    0.000    0.335    0.013 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:100(NotSupportedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:103(InuseAttributeErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1042(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1051(__init__)
     5697    0.005    0.000    0.063    0.000 __init__.py:1053(handle_endtag)
        1    0.000    0.000    0.000    0.000 __init__.py:106(InvalidStateErr)
